일자,FG(BBL),STEAM(ESSTON),ELEC(KWH),EHC,FO,H/S,L/S,Mild,CDU,RFCC,RDS,UC,Rain,ATM Temp.
2025-08-09,98711,-1984,5999173,0.08631152614186587,0.00587994897306043,0.6579924744179416,0.020808121595784344,0.22900792887134772,670571,173119,238308.06900000002,49384.944,0.0101,27.4884
2025-08-10,97522,-1678,5980180,0.05234999821587487,0.006075052129455577,0.39831064474210176,0.10722615812839352,0.43603814678417424,660593,173583,238848.398,50182.767,0.1028,26.397
2025-08-11,96533,-1219,5989484,0.08673792959232605,0.003344905690772678,0.37941361830594195,0.10342678559344025,0.427076760817519,695326,173274,239018.88199999998,49765.077,0.0045,26.9912
2025-08-12,95789,-684,5997016,0.17127738198746015,0.0,0.3184086882201522,0.09763864487943374,0.41267528491295385,734880,173223,239268.695,49720.676,0.1118,24.9919
2025-08-13,95799,-675,6037397,0.2264905842492417,0.0,0.37646537367424815,0.052229204257340435,0.3448148378191698,750228,173914,238777.247,49622.201,0.0003,30.7494
2025-08-14,97417,-959,6031680,0.2370345013684644,0.00016813736290539257,0.46730937090510666,0.004446357648869418,0.29104163271465405,774715,172858,238756.84499999997,49702.995,0.0,32.4046
2025-08-15,99281,-1232,6009797,0.15460063408777325,0.00529789290749778,0.5321913059603863,0.0024933584394341893,0.30541680860490855,784698,173680,239306.761,49684.61,0.0,32.7087
2025-08-16,97876,-942,5996509,0.1257198241192445,0.009709608364033631,0.5400483026060062,0.004819757952561723,0.31970250695815394,783901,172632,238916.38299999997,49537.513,0.0,33.2122
2025-08-17,97930,-1240,5971728,0.15397608653848502,0.008544990364331526,0.5516169526299077,0.0030135608803492533,0.2828484095869265,787355,172159,239188.082,49345.098,0.0,32.5016
2025-08-18,97877,-1767,6004639,0.1375606886602971,0.008525923351565892,0.5113597358883184,0.032194453043720386,0.3103591990560982,762986,172778,239167.879,49556.408,0.0,33.2765
2025-08-19,96908,-1459,5988626,0.08433969261390986,0.008796084721818068,0.40390364648625937,0.10843473647132057,0.39452583970669214,727502,172718,238962.153,49367.855,0.0,32.8043
2025-08-20,97076,-1334,5964954,0.07837555068089908,0.008756958605637686,0.4082089013943808,0.11414053267309072,0.39051805664599176,732114,172458,239353.70299999998,49626.032,0.0,32.4053
2025-08-21,96454,-1290,6014491,0.11670135964736553,0.008732873375363165,0.3753227459223302,0.10073730064064754,0.39850572041429355,731666,173544,237492.533,49542.224,0.0,32.4653
