date,fg_bbl,stm_esston,elec_kwh,cdu_bbl,atm_temp,rain_mm,fg_mj,stm_mj,elec_mj,total_mj,sec_mj_per_bbl,fg_cost_mwon,stm_cost_mwon,elec_cost_mwon,total_cost_mwon,unit_cost_won_per_bbl,cqi_avg,cqi_level
2025-09-11,96393,-1625,6041409,749445,27.2332,0.0028,610.2101029199999,-5.0355825,57.69545595,662.8699763699999,884.4811512118966,10908.410238,-49.22118745853369,1069.329393,11928.518443541467,15916.469445444916,0.564897364471376,Medium
2025-09-12,100142,-2006,6063507,751330,27.4763,0.001,633.94292248,-6.2162329199999995,57.90649185,685.6331814099999,912.5593033820023,11332.669572,-60.76166279496528,1073.240739,12345.148648205037,16431.060450407993,1.326762453851818,Low
2025-09-13,100087,-1952,6066899,745987,27.3736,0.0371,633.59474828,-6.048896640000001,57.93888545,685.4847370900001,918.8963575638718,11326.445442,-59.12600487326632,1073.841123,12341.160560126735,16543.398960205384,0.362541303803752,High
2025-09-14,97962,-1695,6029878,747946,26.9647,0.001,620.14256328,-5.2524999,57.58533490000001,672.47539828,899.0961891366491,11085.967692,-51.341484764439755,1067.288406,12101.91461323556,16180.198320781927,0.3906900729301934,High
2025-09-15,98516,-1673,6057715,759473,29.3503,0.0003,623.6496270399999,-5.18432586,57.85117825000001,676.31647943,890.5076012313801,11148.661656,-50.675105611155,1072.215555,12170.202105388846,16024.535573205163,0.5181768995252045,Medium
2025-09-16,100239,-1682,6097578,764030,31.5135,0.0,634.55697516,-5.21221524,58.23186990000001,687.57662982,899.9340730337815,11343.646674,-50.94771526477149,1079.271306,12371.970264735228,16193.042504528916,0.6497008512979837,Medium
2025-09-17,100999,-1968,6049098,768442,30.4715,0.0052,639.36810956,-6.098477760000001,57.76888590000001,691.0385176999999,899.2721867102526,11429.652834,-59.61064425747342,1070.690346,12440.732535742527,16189.553064177293,0.8444240288257895,Medium
2025-09-18,100791,-1764,6013179,768095,25.0993,0.0,638.0513780399999,-5.466318480000001,57.425859450000004,690.0109190099998,898.3405946009281,11406.114306,-53.43149210883288,1064.332683,12417.015496891167,16165.989229055216,0.4266986217443529,High
2025-09-19,100508,-1476,5981881,748152,25.4902,0.0,636.25986352,-4.57385832,57.126963550000006,688.81296875,920.6858616297224,11374.088328,-44.707983193105065,1058.792937,12388.173281806894,16558.3641850946,0.4226576280912351,High
2025-09-20,99445,-1104,5997868,719483,25.8907,0.0059,629.5306058,-3.42109728,57.27963940000001,683.3891479199999,949.8336276465184,11253.79287,-33.440117510289966,1061.622636,12281.975388489709,17070.556758797233,0.39739573880876167,High
2025-09-21,97861,-1405,5964517,730889,23.5763,0.0,619.5031888399999,-4.3538421000000005,56.96113735,672.11048409,919.5794218958009,11074.537926,-42.55739592568605,1055.719509,12087.700039074316,16538.352662407447,1.0427734520338696,Low
2025-09-22,99733,-1299,5999362,767500,24.1007,0.0,631.35377252,-4.02536718,57.2939071,684.62231244,892.0160422671009,11286.384678,-39.34666000531401,1061.887074,12308.925091994686,16037.687416279721,0.3194194765420228,High
2025-09-23,100016,-1553,6004399,756920,25.1256,0.0,633.14528704,-4.81246746,57.342010450000004,685.67483003,905.8749009538657,11318.410656,-47.04031022960174,1062.778623,12334.148968770398,16295.181748098077,0.3789005294979648,High
2025-09-24,98721,-1349,5989191,755131,26.3814,0.0038,624.9473672400001,-4.18030818,57.19677405,677.9638331100001,897.8095629897331,11171.860686,-40.8611580809612,1060.086807,12191.086334919039,16144.333016283319,0.5014622561329709,Medium
2025-09-25,98667,-1043,5993270,720932,27.3836,0.0021,624.60552348,-3.2320692600000003,57.23572850000001,678.60918272,941.2943005997793,11165.749722,-31.592429858000393,1060.80879,12194.966082142,16915.55664354197,0.2699797795590979,High
2025-09-26,98003,-859,5975766,714754,26.2669,0.0,620.4021113199999,-2.6618863800000003,57.0685653,674.8087902399999,944.113345626607,11090.607498,-26.01907693961873,1057.710582,12122.29900306038,16960.09956301102,0.06361981925877175,High
2025-09-27,98047,-1236,5959229,722448,25.6356,0.0,620.68065068,-3.83014152,56.910636950000004,673.76114611,932.6085006948597,11095.586802,-37.438392429998544,1054.783533,12112.931942570001,16766.51045136813,0.7290834311994291,Medium
2025-09-28,99379,-1686,5972386,724917,26.034,0.0,629.11279676,-5.224610520000001,57.03628630000001,680.92447254,939.3137042447618,11246.323914,-51.068875110823264,1057.112322,12252.367360889177,16901.752008697793,1.145102962577054,Low
2025-09-29,100232,-1594,5973702,735120,24.2436,0.0,634.5126620799999,-4.93951908,57.0488541,686.6219970999999,934.0270936717814,11342.854512,-48.282198651632434,1057.345254,12351.917567348368,16802.58674413479,0.16573077346262066,High
2025-09-30,97214,-1374,5956106,747466,23.6036,0.0,615.40739416,-4.25777868,56.8808123,668.03042778,893.7268421306119,11001.319524,-41.618407118784795,1054.230762,12013.931878881214,16072.88074491845,0.481656204906941,High
2025-10-01,98656,-1238,5943387,752017,25.205,0.0,624.5358886399999,-3.83633916,56.75934585,677.45889533,900.8558255066043,11164.504896,-37.498972353024435,1051.979499,12178.985422646976,16195.093226146451,0.39692187005074636,High
2025-10-02,97947,-1384,5951897,735911,24.5188,0.0,620.04760668,-4.28876688,56.840616350000005,672.5994561499999,913.9684773702254,11084.270202,-41.921306733914236,1053.485769,12095.834664266084,16436.54553915634,0.5156665791659827,Medium
2025-10-03,97716,-976,5967606,715421,21.6886,0.0132,618.5852750399999,-3.0244483200000003,56.9906373,672.5514640199999,940.0778898299042,11058.128856,-29.56300243663316,1056.266262,12084.832115563368,16891.91694898999,0.4224561919102195,High
2025-10-04,98284,-836,5979518,721443,24.5795,0.0069,622.1809649599999,-2.5906135200000002,57.104396900000005,676.6947483399998,937.973960992067,11122.407144,-25.322407824821024,1058.374686,12155.45942217518,16848.81469800827,0.29836301443264923,High
2025-10-05,99146,-1072,5970045,689476,24.5707,0.0024,627.63780424,-3.32193504,57.01392975000001,681.32979895,988.1849389246327,11219.956236,-32.47083874187577,1056.697965,12244.183362258123,17758.67958022922,0.4746139352158833,High
